23441933,[UnknownCAS]_[perfluorobutanesulfonic acid],breast,NULL,2,3
23441933,[UnknownCAS]_[perfluorobutanesulfonic acid],liver,NULL,2,3
22961094,[7440-43-9]_[Cadmium],renal,1,6,0
22467032,[7440-43-9]_[Cadmium],renal,1,2,0
22521884,[7440-43-9]_[Cadmium],renal,1,3,0
22457021,[7440-43-9]_[Cadmium],renal,1,2,0
22855305,[7440-43-9]_[Cadmium],renal,1,2,0
23097080,[7439-91-0]_[Lanthanum],neuro,1,2,0
22407468,[7439-91-0]_[Lanthanum],neuro,1,2,0
22833177,[1634-04-4]_[methyl tert-butyl ether],renal,1,2,0
10051419,[106-46-7]_[4-dichlorobenzene],liver_cancer,NULL,NULL,1
22659286,[8018-01-7]_[mancozeb],any_congenital,1,2,0
22784657,[127-18-4]_[Tetrachloroethylene],any_congenital,1,1,0
23713084,[8018-01-7]_[mancozeb],neuro,1,1,0
23103283,[8018-01-7]_[mancozeb],neuro,1,2,0
22659286,[8018-01-7]_[mancozeb],reproductive,1,2,0
7539370,[60-51-5]_[dimethoate],reproductive,1,2,0
7394838,[84-74-2]_[dibutyl phthalate],reproductive,1,2,0
18390183,[79-06-1]_[Acrylamide],reproductive,NULL,NULL,1
10453915,[80-05-7]_[bisphenol A],reproductive,2,2,0
1700563,[118-74-1]_[hexachlorobenzene],reproductive,2,1,0
22101236,[80-05-7]_[bisphenol A],reproductive,1,2,0
11284652,[7439-97-6]_[mercury],reproductive,1,1,0
18007963,[1763-23-1]_[perfluorooctane sulfonic acid],reproductive,NULL,NULL,2
17870667,[335-67-1]_[perfluorooctanoic acid],reproductive,NULL,1,3
15135881,[unknownCAS]_[rf not phone],cognitive,1,1,0
15832335,[unknownCAS]_[rf not phone],cognitive,2,1,0
18421712,[unknownCAS]_[rf not phone],cognitive,2,1,0
10723014,[unknownCAS]_[rf not phone],cognitive,2,2,0
18792947,[unknownCAS]_[rf not phone],cognitive,2,1,0
12696088,[unknownCAS]_[rf not phone],cognitive,2,1,0
16621850,[unknownCAS]_[rf not phone],cognitive,1,1,0
16882538,[unknownCAS]_[rf not phone],cognitive,2,1,0
16962663,[unknownCAS]_[rf not phone],cognitive,1,1,0
2401250,"[106-99-0]_[1,3-butadiene]",vascular,1,1,0
11170155,[127-18-4]_[tetrachloroethylene],reproductive_cancer,1,1,0
9863065,[1634-04-4]_[methyl tert-butyl ether],hematologic_cancer,1,3,0
9472331,[1634-04-4]_[methyl tert-butyl ether],hematologic_cancer,1,2,0
9472331,[1634-04-4]_[methyl tert-butyl ether],reproductive_cancer,1,2,0
15378987,[335-67-1]_[perfluorooctanoic acid],reproductive,2,2,0
7185,[7439-97-6]_[mercury],cognitive,3,2,0
3228718,[79-06-1]_[Acrylamide],reproductive,1,2,0
11958,[117-81-7]_[diethylhexyl phthalate],any_congenital,3,2,0
15366,[unknowncas]_[mold],lung,NULL,NULL,1
23058,[80-62-6]_[methylmethacrylate],lung,2,1,0
40234,[7440-48-4]_[cobalt],heart_other,2,1,0
40390,"[126-72-7]_[tris(2,3-dibromopropyl)phosphate]",liver,1,3,0
44402,[127-18-4]_[tetrachloroethylene],neuro,3,1,0
17725298,[UnknownCAS]_[Pyrethrins],reproductive,1,3,0
59143,[7440-48-4]_[cobalt],heart_other,NULL,NULL,2
65145,[79-01-6]_[trichloroethylene],lung,3,1,0
65145,[79-01-6]_[trichloroethylene],neuro,3,1,0
71003,"[584-84-9]_[toluene 2,4-diisocyanate]",lung,1,1,0
72208,[71-43-2]_[benzene],hematologic_cancer,NULL,NULL,1
72768,[2921-88-2]_[chlorpyrifos],neuro,2,2,0
14644666,[50471-44-8]_[vinclozolin],reproductive,1,2,0
78180,[50-00-0]_[formaldehyde],lung,1,1,0
78315,"[584-84-9]_[toluene 2,4-diisocyanate]",lung,NULL,NULL,2
87062,[7439-97-6]_[mercury],neuro,NULL,NULL,1
90247,[14807-96-6]_[talc],reproductive_cancer,NULL,NULL,2
90277,[50-00-0]_[formaldehyde],lung,NULL,NULL,2
161333,[79-01-6]_[trichloroethylene],reproductive,NULL,NULL,1
91731,[14807-96-6]_[talc],reproductive_cancer,NULL,NULL,2
99331,[79-01-6]_[trichloroethylene],lung,NULL,NULL,1
19147833,[84-74-2]_[dibutyl phthalate],reproductive,1,2,0
106491,[118-74-1]_[hexachlorobenzene],integument,3,2,0
